Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,NorthCarolina,Tennessee,Texas,filter_$
51,Foundry Mold and Coremakers,2.88,2.88,2.12,2,2.62,3.62,2,2,3,2.88,2.75,3.12,3,2.88,3.5,3,2.12,2,1,1,1,1,1,1,2,46270,39010,39770,1
51,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",3,2.25,1.5,2.12,3,3,2,1.75,3.38,3.12,3,3.12,3.12,2.12,2.88,2.25,3.38,2.88,1,2,1,1,1,1,2,41180,44640,46510,1
51,Furniture Finishers,3,3.12,1.75,2.5,3.12,3.62,2,2,3.12,3.12,3,2.38,3.25,2.88,3.25,3.38,3,2.25,1,2,1,1,1,1,3,42410,34440,39950,1
51,Gas Plant Operators,3.25,2,1.5,2.88,3,3,2.75,2.12,3.25,3,3.88,3.12,3.38,2.12,2.25,3,3.12,3.12,1,2,2,2,1,1,3,77170,72580,82470,1
51,Gem and Diamond Workers,3.12,1.12,1.25,2.5,2.88,3.12,2.75,1.88,3,3,2.75,2,3,1,1.62,3,2.88,2.5,1,1,1,1,1,1,2,51330,49900,53930,1
51,"Glass Blowers, Molders, Benders, and Finishers",2.88,2.62,1.88,2.88,2.88,3.62,2.62,2.38,3,2.75,3.38,3.75,3.5,2.5,2.75,3.62,2.88,2.62,1,1,1,1,1,1,3,41930,42860,40560,1
51,"Grinding and Polishing Workers, Hand",2.88,2.25,2,2.75,2.62,3.62,2,2,3.12,3,3,2.88,3.12,2,2.88,3,2.75,2.5,1,1,1,1,1,1,3,40340,37930,39140,1
51,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3.12,2.38,1.75,2.25,3,3.75,2.75,2.12,3,3,3.25,3.62,3.12,2.25,3.12,3.12,3.12,2.25,1,1,1,1,1,1,3,46890,45040,40560,1
51,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",3.12,2.88,1.75,2,2.88,3.5,2.75,2.12,3,3.12,3.25,3.62,3.25,3.25,3.38,3.12,3,2.88,1,1,1,1,1,1,3,45240,46340,44870,1
51,Helpers--Production Workers,2.88,2.62,1.88,1.88,2.75,3.25,2,2,3,3,3,2.75,2.88,3,3.25,2.75,2.88,2,1,1,1,1,1,1,2,38580,39160,36990,1
